iter	Passed	Remaining
405	2325	3402
406	2326	3389
407	2328	3378
408	2329	3366
409	2330	3353
410	2331	3341
411	2333	3329
412	2334	3317
413	2335	3305
414	2336	3293
415	2337	3281
416	2338	3269
417	2339	3257
418	2341	3246
419	2343	3236
420	2351	3233
421	2352	3221
422	2353	3210
423	2354	3198
424	2357	3190
425	2358	3178
426	2362	3170
427	2363	3159
428	2364	3147
429	2366	3136
430	2367	3124
431	2368	3114
432	2375	3110
433	2378	3102
434	2379	3091
435	2380	3079
436	2384	3071
437	2385	3060
438	2386	3049
439	2391	3043
440	2394	3035
441	2395	3024
442	2399	3016
443	2400	3005
444	2401	2994
445	2402	2984
446	2409	2980
447	2410	2970
448	2411	2959
449	2412	2948
450	2413	2938
451	2414	2927
452	2415	2917
453	2417	2906
454	2418	2896
455	2419	2886
456	2421	2876
457	2422	2866
458	2423	2856
459	2424	2846
460	2426	2837
461	2428	2828
462	2431	2820
463	2435	2813
464	2439	2806
465	2441	2797
466	2442	2787
467	2443	2777
468	2444	2767
469	2445	2757
470	2446	2747
471	2447	2737
472	2448	2727
473	2478	2750
474	2480	2741
475	2481	2731
476	2482	2722
477	2490	2719
478	2493	2712
479	2495	2703
480	2496	2693
481	2497	2684
482	2499	2675
483	2500	2666
484	2502	2657
485	2503	2648
486	2504	2638
487	2506	2629
488	2508	2621
489	2509	2612
490	2510	2602
491	2511	2593
492	2513	2585
493	2516	2577
494	2517	2567
495	2518	2558
496	2525	2556
497	2533	2554
498	2534	2544
499	2535	2535
500	2535	2525
501	2536	2516
502	2537	2507
503	2538	2498
504	2543	2493
505	2545	2484
506	2545	2475
507	2547	2466
508	2547	2457
509	2548	2448
510	2550	2440
511	2550	2431
512	2552	2422
513	2553	2414
514	2554	2405
515	2555	2396
516	2556	2388
517	2557	2379
518	2560	2373
519	2562	2365
520	2564	2358
521	2566	2349
522	2567	2341
523	2568	2332
524	2569	2324
525	2570	2316
526	2572	2308
527	2573	2300
528	2574	2292
529	2576	2284
530	2578	2277
531	2581	2270
532	2592	2271
